FID_1,aet,dtr,eto,frac,lulc,pawc,precip,wy,POINT_X,POINT_Y,POINT_Z
55,959.05801392,1500.00000000,1639.00000000,0.30304350,3.00000000,0.11000000,2648.33007812,2205.69494629,739532.52175500000,9214178.20367000000,0.00000000000
56,835.76599993,1500.00000000,1676.71428571,0.26609700,6.85714286,0.11000000,2645.49717494,2304.14857701,739474.23325600000,9215081.49968000000,0.00000000000
60,955.99667358,950.00000000,1608.83333333,0.31024817,3.00000000,0.18500000,2488.63500977,2123.15502930,743585.51185700000,9213631.83287000000,0.00000000000
61,741.88719240,1500.00000000,1675.47953216,0.24772751,8.40350877,0.11000000,2816.03163691,2252.57607693,730384.42063600000,9222058.74610000000,0.00000000000
62,792.17517585,1500.00000000,1722.10810811,0.27306793,7.55405405,0.11000000,2778.91777740,2112.49932861,732835.15517500000,9225526.62496000000,0.00000000000
63,739.77998579,1500.00000000,1729.17821782,0.25666541,6.89108911,0.11000000,2786.58039478,2143.94464051,728789.74273900000,9224767.13900000000,0.00000000000
64,740.88161684,1294.87179487,1794.25641026,0.26662410,9.00000000,0.13051282,2741.95000751,2037.58460412,728725.74505000000,9229969.61941000000,0.00000000000
65,815.82882444,1279.03225806,1800.53225806,0.29052359,7.51612903,0.12774193,2750.69757474,1991.29749126,732908.63644300000,9228964.51287000000,0.00000000000
66,934.35177922,1500.00000000,1831.95652174,0.33591675,7.13043478,0.11000000,2737.37046040,1846.40594217,734327.81936400000,9229833.59114000000,0.00000000000
67,837.39851637,1500.00000000,1731.20224719,0.29366239,9.43820225,0.11000000,2697.28910639,2017.25225350,737819.06888700000,9226063.47297000000,0.00000000000
68,883.39093952,1228.57142857,1807.34693878,0.31999295,9.05102041,0.11969388,2620.53886569,1877.01316491,740392.31173900000,9227752.96087000000,0.00000000000
69,759.47445854,1500.00000000,1728.48850575,0.26167152,9.38505747,0.11000000,2622.93545708,2144.59534182,740444.19267400000,9223105.67819000000,0.00000000000
70,799.83301111,1500.00000000,1698.72972973,0.27159021,9.25225225,0.11000000,2722.17892429,2146.31639855,737108.67812000000,9223458.78348000000,0.00000000000
71,729.97806386,1500.00000000,1678.67213115,0.24323652,9.09016393,0.11000000,2775.52007356,2270.63540299,734424.18644800000,9221921.99537000000,0.00000000000
72,864.65802418,1500.00000000,1704.30681818,0.28656184,9.68181818,0.11000000,2660.85193426,2153.01920665,739221.73001900000,9220054.16213000000,0.00000000000
73,892.10292410,1497.19626168,1697.26168224,0.28908272,8.56074766,0.11056075,2621.91354456,2194.48953047,740295.74471600000,9216758.32125000000,0.00000000000
74,1086.69276937,1241.66666667,1687.57407407,0.35490615,8.67592593,0.16166667,2542.82713940,1976.54879535,742339.98926300000,9216156.98893000000,0.00000000000
75,1037.70563057,1105.98290598,1672.42735043,0.34576752,8.07692308,0.17564103,2463.43837432,1965.06691540,744284.70601000000,9216225.86814000000,0.00000000000
76,979.43998249,871.78770950,1606.99441341,0.34611447,6.34636872,0.18969274,2256.70854247,1849.42762356,747979.08986500000,9217312.07438000000,0.00000000000
77,715.76501247,922.61904762,1798.79166667,0.25831484,8.73809524,0.16773809,2737.69374157,2054.16910153,729506.53444500000,9231153.34934000000,0.00000000000
78,702.63778056,500.00000000,1807.42580645,0.25653942,8.12903226,0.20999999,2727.86057050,2036.36554782,729968.07236500000,9233952.68656000000,0.00000000000
79,672.75719975,331.37254902,1871.33333333,0.24701371,8.70588235,0.18450980,2728.87196021,2051.15136001,733379.92685100000,9233285.25198000000,0.00000000000
80,794.33693848,877.14285714,1880.48571429,0.29000040,8.45714286,0.14142857,2732.87801339,1945.04142718,733465.30896700000,9232042.61673000000,0.00000000000
81,895.82980347,1500.00000000,1906.80000000,0.33056840,9.60000000,0.11000000,2712.51796875,1814.77299805,736054.98398100000,9232511.32529000000,0.00000000000
82,828.43266660,1500.00000000,1837.09523810,0.29947475,8.00000000,0.11000000,2720.96873062,1936.67777700,735810.70014300000,9229916.39336000000,0.00000000000
83,863.72569262,1500.00000000,1775.61788618,0.31047084,6.24390244,0.11000000,2700.98162197,1922.99454653,737320.98564400000,9228611.03269000000,0.00000000000
84,964.65927976,1500.00000000,1872.27906977,0.35746085,5.95348837,0.11000000,2667.31675259,1734.63546398,738479.29396400000,9231182.38130000000,0.00000000000
85,948.43195106,1306.89655172,1866.39655172,0.36056704,5.75862069,0.11689655,2593.62466115,1683.61327704,741081.03615200000,9231752.02282000000,0.00000000000
86,963.24255676,1325.00000000,1921.20000000,0.36232493,8.67500000,0.11625000,2662.80074463,1695.94650269,738271.55161200000,9233059.99099000000,0.00000000000
87,772.15120813,354.54545455,1919.84848485,0.28743545,10.54545455,0.15090909,2702.03666548,1913.36606297,736042.14048100000,9233744.29710000000,0.00000000000
88,666.87366536,188.88888889,1891.97777778,0.24763767,8.66666667,0.17111111,2712.59398872,2026.32446018,734327.28059100000,9234479.58199000000,0.00000000000
89,756.68882847,262.50000000,1910.79687500,0.28474480,10.42187500,0.18031250,2687.30953979,1902.59687614,734580.55495100000,9236506.08802000000,0.00000000000
90,721.43703754,100.00000000,1937.65384615,0.27385987,11.00000000,0.16000000,2672.00844633,1913.02384597,736947.64577500000,9235628.95985000000,0.00000000000
91,725.95049211,127.45098039,1945.76470588,0.27769092,11.00000000,0.15901960,2650.20706476,1888.31275132,738363.91186200000,9235115.34839000000,0.00000000000
92,821.85600126,627.53623188,1950.05797101,0.32410100,11.00000000,0.14115942,2587.12218000,1718.24985139,740541.23403400000,9235808.79369000000,0.00000000000
93,900.53101980,1085.18518519,1879.65432099,0.35435404,4.68518519,0.12481481,2519.11610544,1640.52252894,742908.08280800000,9233136.64979000000,0.00000000000
94,742.02212209,287.06896552,1955.15517241,0.30834452,6.29310345,0.15379310,2468.09604829,1667.68426514,743615.33916200000,9237026.05464000000,0.00000000000
95,856.61616879,500.00000000,1876.30952381,0.31841345,10.33333333,0.20999999,2687.25047084,1835.31880697,731628.35484600000,9237506.43066000000,0.00000000000
96,790.76850971,500.00000000,1882.87719298,0.29508789,9.80701754,0.20999999,2693.06123647,1891.84578451,732676.02704400000,9236703.67217000000,0.00000000000
97,852.87072754,445.45454545,1908.59090909,0.32092350,9.86363636,0.20318181,2645.97727273,1804.55499268,732308.37772500000,9239354.57346000000,0.00000000000
98,856.24895131,500.00000000,1866.50000000,0.31907918,10.09090909,0.20999999,2634.03179377,1827.64318848,730438.99551000000,9240243.83759000000,0.00000000000
99,792.98027710,552.00000000,1738.56000000,0.28601228,8.52000000,0.20740000,2587.15480957,1975.80639404,725984.24551500000,9242612.73182000000,0.00000000000
100,832.68072269,623.68421053,1607.96052632,0.29679062,5.50000000,0.20381579,2540.48184043,1971.35369070,724054.45474600000,9244810.54831000000,0.00000000000
101,815.38373426,606.12244898,1621.09183673,0.29385214,6.55102041,0.20469388,2517.22325913,1957.70224186,725006.06906500000,9244826.10340000000,0.00000000000
